iter	Passed	Remaining
0	101	50592
1	180	45014
2	281	46690
3	362	44982
4	455	45115
5	548	45152
6	643	45295
7	739	45499
8	838	45730
9	936	45887
10	1017	45222
11	1115	45354
12	1239	46423
13	1338	46466
14	1433	46357
15	1512	45764
16	1596	45351
17	1687	45195
18	1784	45174
19	1874	44998
20	1971	44978
21	2066	44906
22	2158	44774
23	2251	44646
24	2350	44661
25	2436	44422
26	2531	44353
27	2629	44325
28	2719	44168
29	2812	44068
30	2908	43999
31	3004	43942
32	3090	43739
33	3189	43712
34	3270	43450
35	3373	43474
36	3474	43472
37	3555	43223
38	3654	43196
39	3748	43104
40	3845	43049
41	3938	42950
42	4032	42855
43	4120	42702
44	4209	42565
45	4299	42434
46	4393	42347
47	4489	42273
48	4577	42127
49	4668	42019
50	4751	41834
51	4843	41725
52	4910	41417
53	4998	41282
54	5077	41085
55	5175	41032
56	5259	40876
57	5343	40722
58	5418	40497
59	5511	40418
60	5608	40363
61	5706	40311
62	5799	40228
63	5887	40111
64	5981	40029
65	6074	39942
66	6171	39884
67	6276	39874
68	6377	39836
69	6480	39806
70	6575	39731
71	6678	39699
72	6768	39590
73	6859	39487
74	6945	39358
75	7042	39291
76	7134	39196
77	7218	39053
78	7306	38936
79	7386	38779
80	7456	38570
81	7532	38397
82	7624	38307
83	7722	38244
84	7793	38050
85	7878	37925
86	7969	37833
87	8059	37735
88	8153	37651
89	8245	37560
90	8336	37469
91	8430	37385
92	8515	37265
93	8595	37126
94	8674	36980
95	8770	36908
96	8855	36789
97	8951	36719
98	9037	36605
99	9132	36530
100	9222	36431
101	9288	36242
102	9374	36132
103	9461	36028
104	9535	35872
105	9631	35799
106	9697	35617
107	9757	35415
108	9841	35302
109	9931	35210
110	10022	35123
111	10108	35020
112	10202	34941
113	10292	34850
114	10376	34737
115	10475	34678
116	10571	34605
117	10658	34505
118	10727	34344
119	10819	34262
120	10904	34154
121	10997	34075
122	11077	33952
123	11166	33859
124	11263	33790
125	11363	33730
126	11464	33672
127	11562	33603
128	11653	33515
129	11752	33449
130	11844	33363
131	11936	33276
132	12019	33166
133	12105	33063
134	12201	32989
135	12291	32897
136	12388	32825
137	12476	32728
138	12566	32636
139	12662	32559
140	12752	32468
141	12835	32360
142	12926	32270
143	13010	32165
144	13102	32079
145	13190	31981
146	13284	31901
147	13378	31820
148	13478	31750
149	13571	31666
150	13666	31585
151	13760	31505
152	13849	31409
153	13924	31284
154	14016	31198
155	14112	31120
156	14186	30993
157	14255	30856
158	14347	30771
159	14436	30677
160	14539	30613
161	14629	30524
162	14717	30429
163	14809	30341
164	14902	30256
165	14999	30178
166	15091	30092
167	15183	30006
168	15270	29909
169	15358	29812
170	15438	29703
171	15532	29620
172	15626	29535
173	15726	29465
174	15813	29367
175	15906	29282
176	16000	29199
177	16108	29140
178	16205	29061
179	16297	28973
180	16379	28868
181	16472	28781
182	16569	28702
183	16658	28608
184	16752	28524
185	16851	28449
186	16939	28353
187	17027	28258
188	17121	28173
189	17209	28079
190	17296	27982
191	17387	27892
192	17488	27817
193	17588	27743
194	17682	27656
195	17776	27571
196	17883	27506
197	17978	27421
198	18075	27340
199	18169	27253
200	18264	27170
201	18345	27064
202	18440	26979
203	18533	26891
204	18649	26836
205	18739	26744
206	18832	26656
207	18921	26562
208	19017	26478
209	19114	26396
210	19209	26310
211	19299	26218
212	19375	26106
213	19455	26001
214	19568	25939
215	19658	25846
216	19740	25744
217	19826	25647
218	19923	25564
219	20009	25467
220	20099	25374
221	20185	25277
222	20279	25189
223	20372	25101
224	20466	25014
225	20549	24913
226	20643	24826
227	20738	24740
228	20831	24651
229	20926	24565
230	21024	24483
231	21125	24403
232	21230	24328
233	21329	24246
234	21420	24155
235	21510	24062
236	21599	23968
237	21692	23880
238	21778	23783
239	21873	23696
240	21971	23612
241	22067	23527
242	22160	23437
243	22258	23352
244	22359	23272
245	22450	23180
246	22539	23087
247	22632	22997
248	22736	22918
249	22831	22831
250	22925	22742
251	23020	22655
252	23116	22568
253	23210	22479
254	23308	22394
255	23396	22299
256	23506	22225
257	23607	22143
258	23709	22061
259	23802	21971
260	23906	21891
261	24008	21809
262	24113	21729
263	24208	21640
264	24298	21547
265	24405	21469
266	24498	21378
267	24595	21291
268	24697	21208
269	24789	21116
270	24888	21031
271	24980	20939
272	25077	20852
273	25173	20763
274	25263	20670
275	25355	20578
276	25459	20496
277	25549	20403
278	25644	20313
279	25747	20230
280	25844	20142
281	25941	20053
282	26041	19968
283	26138	19879
284	26228	19786
285	26329	19701
286	26427	19613
287	26529	19528
288	26626	19440
289	26706	19338
290	26810	19255
291	26901	19162
292	26998	19074
293	27093	18984
294	27190	18894
295	27278	18799
296	27378	18713
297	27474	18623
298	27550	18520
299	27638	18425
300	27733	18335
301	27826	18243
302	27918	18151
303	27997	18050
304	28088	17958
305	28192	17873
306	28284	17781
307	28375	17688
308	28469	17597
309	28567	17509
310	28664	17420
311	28763	17332
312	28857	17241
313	28958	17153
314	29054	17063
315	29154	16975
316	29243	16881
317	29316	16778
318	29403	16683
319	29496	16591
320	29598	16504
321	29699	16417
322	29795	16327
323	29903	16243
324	29988	16147
325	30087	16058
326	30171	15962
327	30263	15869
328	30354	15776
329	30448	15685
330	30527	15586
331	30624	15496
332	30721	15406
333	30817	15316
334	30921	15229
335	31012	15137
336	31107	15045
337	31184	14946
338	31285	14858
339	31384	14769
340	31466	14671
341	31554	14577
342	31636	14480
343	31731	14389
344	31827	14299
345	31908	14202
346	32005	14111
347	32099	14020
348	32195	13929
349	32293	13840
350	32398	13753
351	32495	13662
352	32580	13567
353	32659	13469
354	32782	13390
355	32886	13302
356	32980	13210
357	33067	13116
358	33164	13025
359	33251	12931
360	33340	12837
361	33428	12743
362	33520	12651
363	33617	12560
364	33709	12467
365	33805	12376
366	33897	12284
367	33997	12194
368	34098	12105
369	34195	12014
370	34276	11918
371	34375	11828
372	34484	11741
373	34565	11645
374	34664	11554
375	34754	11461
376	34854	11371
377	34958	11282
378	35063	11194
379	35154	11101
380	35252	11010
381	35349	10919
382	35443	10827
383	35542	10736
384	35633	10643
385	35722	10550
386	35819	10459
387	35922	10369
388	36025	10279
389	36114	10186
390	36212	10094
391	36306	10002
392	36441	9921
393	36569	9838
394	36680	9750
395	36791	9662
396	36905	9575
397	37009	9484
398	37118	9395
399	37225	9306
400	37343	9219
401	37458	9131
402	37568	9042
403	37679	8953
404	37777	8861
405	37854	8764
406	37955	8672
407	38033	8576
408	38129	8483
409	38229	8391
410	38319	8297
411	38406	8203
412	38503	8111
413	38599	8018
414	38694	7925
415	38800	7834
416	38899	7742
417	38991	7648
418	39076	7554
419	39184	7463
420	39290	7372
421	39379	7278
422	39468	7184
423	39559	7090
424	39638	6995
425	39735	6902
426	39827	6808
427	39922	6715
428	40017	6622
429	40104	6528
430	40201	6435
431	40300	6343
432	40394	6250
433	40479	6155
434	40565	6061
435	40656	5967
436	40749	5874
437	40843	5781
438	40931	5687
439	41012	5592
440	41111	5500
441	41204	5406
442	41305	5314
443	41406	5222
444	41513	5130
445	41609	5037
446	41698	4944
447	41801	4851
448	41887	4757
449	41983	4664
450	42087	4572
451	42182	4479
452	42282	4386
453	42383	4294
454	42480	4201
455	42582	4108
456	42671	4015
457	42765	3921
458	42862	3828
459	42917	3731
460	43017	3639
461	43115	3546
462	43214	3453
463	43324	3361
464	43413	3267
465	43521	3175
466	43614	3081
467	43697	2987
468	43795	2894
469	43890	2801
470	43993	2708
471	44080	2614
472	44182	2522
473	44264	2428
474	44353	2334
475	44445	2240
476	44544	2147
477	44638	2054
478	44713	1960
479	44806	1866
480	44901	1773
481	44995	1680
482	45099	1587
483	45193	1494
484	45288	1400
485	45387	1307
486	45475	1213
487	45580	1120
488	45693	1027
489	45797	934
490	45892	841
491	45977	747
492	46073	654
493	46172	560
494	46265	467
495	46362	373
496	46465	280
497	46569	187
498	46672	93
499	46769	0
