iter	RMSE
0	6149.61009
1	6002.730624
2	5859.967519
3	5722.921298
4	5591.767116
5	5462.57344
6	5338.0139
7	5217.398502
8	5102.086719
9	4990.555568
10	4880.925633
11	4776.358433
12	4679.005323
13	4581.319743
14	4488.391222
15	4398.314013
16	4312.011904
17	4226.997119
18	4147.26202
19	4067.001526
20	3992.562883
21	3919.819416
22	3850.6794
23	3782.994919
24	3717.788087
25	3655.163147
26	3593.523957
27	3534.366386
28	3479.786548
29	3426.021525
30	3374.964949
31	3325.209011
32	3275.851758
33	3230.338484
34	3185.586119
35	3143.12692
36	3101.704245
37	3062.763613
38	3025.002794
39	2989.787492
40	2954.362084
41	2921.45449
42	2889.879487
43	2859.440549
44	2829.640815
45	2801.972557
46	2774.622887
47	2748.98274
48	2723.185782
49	2696.236696
50	2673.614506
51	2650.656954
52	2628.982875
53	2607.811726
54	2587.914686
55	2568.69672
56	2549.746765
57	2530.134291
58	2512.705015
59	2494.685751
60	2478.707169
61	2462.402046
62	2447.167932
63	2432.614966
64	2418.131965
65	2403.438197
66	2391.041563
67	2377.87509
68	2365.062789
69	2352.954996
70	2341.956392
71	2329.561438
72	2318.627115
73	2308.312711
74	2297.073787
75	2286.842484
76	2277.013186
77	2267.777081
78	2259.004427
79	2250.738775
80	2243.339648
81	2235.724469
82	2228.313082
83	2220.637174
84	2213.964948
85	2207.202263
86	2200.56887
87	2193.612063
88	2187.098161
89	2181.288007
90	2175.595313
91	2169.533794
92	2164.541862
93	2159.77909
94	2154.615605
95	2149.634547
96	2145.329373
97	2140.508592
98	2136.065311
99	2131.784598
100	2126.86608
101	2122.275687
102	2118.331115
103	2114.659039
104	2111.069834
105	2107.552989
106	2103.731095
107	2100.15327
108	2096.84986
109	2093.659851
110	2090.516516
111	2087.559373
112	2084.696796
113	2081.815836
114	2079.210963
115	2076.684585
116	2074.543907
117	2071.732838
118	2068.795668
119	2066.002759
120	2063.768196
121	2061.2907
122	2058.401316
123	2056.37854
124	2053.676203
125	2051.208165
126	2048.976908
127	2047.059576
128	2044.937886
129	2042.715766
130	2040.416693
131	2038.475892
132	2036.657774
133	2034.579058
134	2032.475205
135	2030.881974
136	2029.025126
137	2027.100588
138	2025.478764
139	2023.492879
