iter	RMSE
349	1867.3958
350	1866.964973
351	1866.547609
352	1866.206654
353	1865.912963
354	1865.537821
355	1865.216902
356	1864.92241
357	1864.402758
358	1864.127306
359	1863.8538
360	1863.379905
361	1863.047464
362	1862.699372
363	1862.298805
364	1861.992471
365	1861.661657
366	1861.25312
367	1860.922497
368	1860.478284
369	1860.160322
370	1859.896177
371	1859.569458
372	1859.215235
373	1858.699821
374	1858.203994
375	1857.914084
376	1857.496997
377	1857.329586
378	1857.009828
379	1856.595965
380	1856.382547
381	1856.207321
382	1855.902478
383	1855.660235
384	1855.481515
385	1855.242014
386	1854.790914
387	1854.532046
388	1854.222509
389	1853.810051
390	1853.529483
391	1853.272201
392	1852.81078
393	1852.457053
394	1852.175205
395	1851.738094
396	1851.435232
397	1851.099462
398	1850.826424
399	1850.505347
400	1850.246431
401	1849.928759
402	1849.424056
403	1849.071183
404	1848.777794
405	1848.406225
406	1848.100167
407	1847.676064
408	1847.378738
409	1847.122791
410	1846.780066
411	1846.49727
412	1846.206333
413	1845.81126
414	1845.59593
415	1845.428738
416	1845.167396
417	1844.862215
418	1844.603921
419	1844.344186
420	1844.021853
421	1843.745634
422	1843.453112
423	1843.222094
424	1842.839737
425	1842.65518
426	1842.326755
427	1842.04154
428	1841.767718
429	1841.521622
430	1841.230615
431	1840.963918
432	1840.632031
433	1840.382391
434	1840.110071
435	1839.80176
436	1839.548516
437	1839.115358
438	1838.773937
439	1838.548292
440	1838.348675
441	1838.119103
442	1837.795218
443	1837.486405
444	1837.196975
445	1836.889115
446	1836.640938
447	1836.402736
448	1836.107158
449	1835.877386
450	1835.617236
451	1835.207645
452	1834.93329
453	1834.636765
454	1834.548961
455	1834.307404
456	1833.970303
457	1833.715903
458	1833.343043
459	1833.132369
460	1832.884318
461	1832.618896
462	1832.358633
463	1831.95413
464	1831.716902
465	1831.414345
466	1831.135512
467	1830.840742
468	1830.651397
469	1830.400014
470	1830.185438
471	1829.907952
472	1829.741595
473	1829.511673
474	1829.337353
475	1829.162678
476	1828.926778
477	1828.744532
478	1828.573503
479	1828.348746
480	1828.157302
481	1827.837931
482	1827.457939
483	1827.195592
484	1827.042888
485	1826.791401
486	1826.4796
487	1826.291139
488	1826.096067
489	1825.851397
490	1825.526888
491	1825.259579
492	1825.053571
493	1824.887382
494	1824.517947
495	1824.357987
496	1824.17392
497	1823.831664
498	1823.428055
499	1823.242975
