iter	Passed	Remaining
0	104	52328
1	203	50577
2	289	47937
3	384	47680
4	485	48061
5	578	47598
6	670	47216
7	764	46992
8	847	46250
9	938	45978
10	1029	45780
11	1130	45988
12	1228	46038
13	1336	46392
14	1428	46172
15	1532	46346
16	1613	45850
17	1704	45650
18	1818	46027
19	1908	45804
20	1999	45608
21	2090	45416
22	2188	45379
23	2282	45263
24	2360	44850
25	2454	44750
26	2545	44585
27	2641	44520
28	2716	44121
29	2800	43873
30	2889	43712
31	2980	43583
32	3075	43520
33	3172	43478
34	3262	43346
35	3348	43159
36	3440	43049
37	3534	42972
38	3614	42728
39	3699	42545
40	3787	42405
41	3878	42290
42	3972	42222
43	4072	42208
44	4169	42154
45	4254	41990
46	4342	41854
47	4433	41745
48	4521	41618
49	4605	41447
50	4700	41383
51	4794	41307
52	4856	40960
53	4949	40878
54	5034	40731
55	5119	40593
56	5207	40474
57	5300	40395
58	5399	40356
59	5485	40224
60	5567	40070
61	5664	40019
62	5760	39954
63	5832	39736
64	5909	39544
65	6006	39500
66	6101	39428
67	6187	39309
68	6282	39241
69	6373	39149
70	6468	39086
71	6556	38976
72	6631	38791
73	6715	38657
74	6796	38516
75	6883	38404
76	6969	38287
77	7064	38219
78	7146	38086
79	7237	37996
80	7328	37910
81	7416	37807
82	7501	37688
83	7598	37630
84	7695	37572
85	7785	37479
86	7879	37404
87	7971	37323
88	8058	37212
89	8152	37138
90	8235	37015
91	8326	36925
92	8418	36840
93	8511	36761
94	8603	36677
95	8696	36597
96	8791	36525
97	8888	36460
98	8989	36411
99	9076	36304
100	9166	36211
101	9256	36118
102	9354	36054
103	9449	35981
104	9535	35872
105	9627	35786
106	9718	35695
107	9814	35624
108	9900	35514
109	9979	35382
110	10066	35277
111	10129	35090
112	10223	35012
113	10307	34899
114	10400	34818
115	10495	34743
116	10597	34691
117	10689	34604
118	10779	34513
119	10876	34443
120	10972	34367
121	11062	34275
122	11153	34186
123	11223	34032
124	11321	33963
125	11418	33892
126	11510	33805
127	11611	33745
128	11700	33650
129	11781	33532
130	11879	33463
131	11972	33377
132	12062	33284
133	12157	33206
134	12253	33129
135	12347	33047
136	12446	32978
137	12543	32904
138	12639	32825
139	12735	32748
140	12827	32660
141	12916	32563
142	13009	32477
143	13089	32359
144	13193	32302
145	13292	32230
146	13388	32149
147	13471	32041
148	13550	31921
149	13634	31814
150	13713	31695
151	13777	31542
152	13860	31436
153	13961	31367
154	14048	31268
155	14139	31178
156	14218	31063
157	14294	30941
158	14388	30859
159	14479	30768
160	14573	30685
161	14660	30587
162	14755	30506
163	14839	30402
164	14922	30296
165	15007	30196
166	15099	30108
167	15179	29998
168	15273	29915
169	15338	29775
170	15431	29689
171	15521	29599
172	15616	29518
173	15716	29445
174	15813	29368
175	15907	29284
176	16003	29203
177	16100	29125
178	16196	29044
179	16290	28961
180	16379	28867
181	16474	28784
182	16563	28691
183	16638	28574
184	16737	28498
185	16831	28414
186	16928	28334
187	17025	28254
188	17114	28162
189	17194	28054
190	17292	27976
191	17378	27877
192	17467	27785
193	17561	27700
194	17655	27614
195	17749	27530
196	17832	27427
197	17915	27325
198	18013	27246
199	18104	27156
200	18202	27076
201	18280	26968
202	18371	26878
203	18443	26761
204	18532	26668
205	18628	26585
206	18725	26504
207	18827	26430
208	18921	26345
209	19001	26240
210	19092	26150
211	19186	26064
212	19274	25971
213	19364	25879
214	19461	25797
215	19558	25716
216	19654	25632
217	19755	25555
218	19831	25446
219	19931	25367
220	20028	25285
221	20116	25191
222	20206	25099
223	20304	25017
224	20389	24920
225	20483	24834
226	20580	24751
227	20684	24676
228	20774	24585
229	20865	24493
230	20954	24401
231	21064	24333
232	21151	24238
233	21248	24154
234	21339	24063
235	21434	23977
236	21523	23884
237	21621	23801
238	21712	23710
239	21802	23619
240	21893	23528
241	21994	23448
242	22089	23362
243	22176	23267
244	22271	23180
245	22364	23091
246	22446	22991
247	22529	22893
248	22625	22807
249	22722	22722
250	22815	22633
251	22903	22539
252	22997	22451
253	23094	22367
254	23185	22276
255	23276	22185
256	23370	22097
257	23457	22002
258	23562	21925
259	23651	21832
260	23735	21735
261	23831	21648
262	23924	21559
263	24026	21478
264	24107	21378
265	24200	21289
266	24295	21201
267	24392	21115
268	24490	21030
269	24583	20941
270	24682	20857
271	24776	20768
272	24869	20678
273	24966	20592
274	25054	20499
275	25137	20401
276	25231	20312
277	25325	20224
278	25419	20134
279	25516	20048
280	25619	19966
281	25720	19883
282	25801	19784
283	25880	19683
284	25975	19595
285	26080	19515
286	26175	19426
287	26266	19334
288	26361	19246
289	26459	19160
290	26554	19071
291	26646	18980
292	26736	18889
293	26832	18800
294	26924	18710
295	27013	18617
296	27103	18525
297	27203	18439
298	27295	18348
299	27391	18260
300	27485	18171
301	27586	18086
302	27689	18002
303	27781	17911
304	27870	17818
305	27963	17728
306	28058	17639
307	28156	17552
308	28256	17465
309	28346	17373
310	28444	17286
311	28538	17196
312	28634	17107
313	28725	17015
314	28821	16926
315	28913	16835
316	29011	16747
317	29105	16657
318	29201	16569
319	29290	16475
320	29392	16390
321	29492	16303
322	29596	16218
323	29697	16132
324	29790	16040
325	29875	15945
326	29975	15858
327	30079	15773
328	30198	15695
329	30294	15606
330	30401	15522
331	30501	15434
332	30601	15346
333	30678	15247
334	30759	15150
335	30845	15055
336	30939	14964
337	31037	14875
338	31127	14783
339	31254	14708
340	31352	14619
341	31449	14529
342	31542	14437
343	31639	14347
344	31737	14258
345	31847	14174
346	31942	14084
347	32039	13994
348	32126	13899
349	32219	13808
350	32315	13718
351	32417	13630
