iter	RMSE
0	6147.644901
1	6001.629253
2	5860.605881
3	5723.068405
4	5591.485477
5	5463.137331
6	5340.683428
7	5220.974503
8	5105.320388
9	4994.354329
10	4886.040311
11	4781.517481
12	4679.903184
13	4582.909442
14	4489.937173
15	4401.212166
16	4314.326994
17	4230.048065
18	4148.630564
19	4068.509482
20	3991.669323
21	3917.990863
22	3849.933422
23	3780.556063
24	3714.956118
25	3652.042941
26	3591.413365
27	3533.162013
28	3477.989516
29	3423.069613
30	3371.231029
31	3321.637458
32	3273.705094
33	3227.997628
34	3184.301667
35	3141.136922
36	3100.256242
37	3062.189001
38	3024.198071
39	2988.196466
40	2953.018726
41	2918.252688
42	2886.63238
43	2855.399669
44	2826.038707
45	2797.711931
46	2770.593884
47	2744.98114
48	2719.560938
49	2694.289363
50	2670.735329
51	2647.557228
52	2626.126902
53	2605.146804
54	2585.471008
55	2564.118254
56	2545.919629
57	2526.954714
58	2509.742927
59	2493.683135
60	2477.309896
61	2460.56043
62	2445.32315
63	2429.935865
64	2414.6463
65	2400.153884
66	2386.53182
67	2373.066234
68	2361.724296
69	2349.619041
70	2337.874141
71	2326.636147
72	2315.466326
73	2304.336879
74	2293.073648
75	2282.837749
76	2273.42852
77	2263.636685
78	2254.123091
79	2245.577839
80	2236.815692
81	2228.516796
82	2220.792834
83	2213.483292
84	2206.585455
85	2199.48797
86	2192.482706
87	2185.759692
88	2179.206026
89	2173.30258
90	2167.024199
91	2161.224247
92	2155.941772
93	2150.57553
94	2144.760759
95	2139.752792
96	2135.383004
97	2130.78422
98	2125.76599
99	2120.99782
100	2116.840857
101	2112.904357
102	2108.358525
103	2104.618551
104	2100.710337
105	2097.478347
106	2094.05843
107	2090.586078
108	2086.95279
109	2083.43808
110	2080.315604
111	2077.444092
112	2074.291813
113	2071.645775
114	2068.763897
115	2066.122546
116	2063.409228
117	2060.508429
118	2057.993494
119	2055.099688
120	2052.82579
121	2050.202882
122	2048.171202
123	2045.921391
124	2043.321089
125	2041.13572
126	2039.075267
127	2036.608107
128	2034.268661
129	2032.607212
130	2030.52765
131	2028.379003
132	2026.269187
133	2024.39918
134	2022.328015
135	2020.309591
136	2018.474511
137	2016.503939
138	2014.764831
139	2013.30811
140	2011.691238
141	2010.015559
142	2008.392602
143	2006.809965
144	2005.132403
145	2003.442572
146	2001.769216
147	2000.125039
148	1998.383135
149	1997.101493
150	1995.651779
151	1994.357822
152	1992.912238
153	1991.933349
154	1990.707046
155	1989.47194
156	1988.115949
157	1986.571639
158	1985.316725
159	1984.195142
160	1983.167864
161	1981.918121
162	1980.617114
163	1979.507999
164	1978.399576
165	1977.210938
166	1976.198153
167	1975.226631
168	1974.058617
169	1972.878132
170	1971.879872
171	1970.476652
172	1969.24534
173	1968.542337
174	1967.488583
175	1966.279968
176	1965.460356
177	1964.620448
178	1963.910074
179	1962.92895
180	1961.821909
181	1960.937774
182	1959.766181
183	1958.773567
184	1957.918622
185	1957.097862
186	1955.839573
187	1954.732207
188	1953.863731
189	1953.204265
190	1952.363482
191	1951.589911
192	1950.734268
193	1949.907172
194	1949.33421
195	1948.281727
196	1947.07112
197	1946.175772
198	1945.164984
199	1944.495368
200	1943.633064
201	1942.765727
202	1941.953096
203	1941.293629
204	1940.656405
205	1939.923606
206	1939.113642
207	1938.405808
208	1937.537278
209	1936.611439
210	1935.642391
211	1934.750672
212	1933.994929
213	1933.280498
214	1932.588962
215	1931.917895
216	1930.957775
217	1929.972724
218	1929.155225
219	1928.513896
220	1927.738526
221	1926.720501
222	1925.793641
223	1925.109295
224	1924.600025
225	1923.993037
226	1923.383643
227	1922.573527
228	1922.15508
229	1921.638031
230	1920.947443
231	1920.077945
232	1919.437153
233	1918.747349
234	1918.001272
235	1917.22044
236	1916.578418
237	1916.013835
238	1915.529843
239	1914.962051
240	1914.229499
241	1913.908606
242	1913.379942
243	1912.683586
244	1912.024079
245	1911.298872
246	1910.943033
247	1910.321046
248	1909.689686
249	1909.134543
250	1908.184421
251	1907.69995
252	1907.293613
253	1906.575214
254	1906.142582
255	1905.481867
256	1905.228785
257	1904.651382
258	1904.202979
259	1903.702006
260	1903.019628
261	1902.547599
262	1901.918062
263	1901.518135
264	1900.775301
265	1900.270678
266	1899.672956
267	1899.270521
268	1898.789719
269	1898.290477
270	1897.790273
271	1897.342222
272	1896.750627
273	1896.419273
274	1895.70695
275	1895.04505
276	1894.381301
277	1893.739013
278	1893.173191
279	1892.740478
280	1892.23233
281	1891.70571
282	1891.064486
283	1890.403538
284	1889.926725
285	1889.46364
286	1889.210502
287	1888.789484
288	1888.200957
289	1887.70844
290	1887.067019
291	1886.62375
292	1886.154891
293	1885.655556
294	1884.972206
295	1884.389214
