iter	Passed	Remaining
399	41300	10325
400	41401	10221
401	41508	10118
402	41608	10015
403	41705	9910
404	41804	9806
405	41910	9703
406	41999	9596
407	42097	9492
408	42207	9390
409	42308	9287
410	42409	9183
411	42518	9081
412	42625	8979
413	42741	8878
414	42855	8777
415	42957	8674
416	43069	8572
417	43175	8469
418	43299	8370
419	43396	8265
420	43496	8162
421	43600	8058
422	43692	7953
423	43790	7849
424	43896	7746
425	43996	7642
426	44099	7539
427	44206	7436
428	44313	7334
429	44420	7231
430	44518	7127
431	44619	7023
432	44716	6919
433	44817	6815
434	44913	6711
435	45010	6607
436	45102	6502
437	45204	6398
438	45307	6295
439	45407	6191
440	45506	6088
441	45603	5984
442	45706	5880
443	45806	5777
444	45906	5673
445	46005	5570
446	46103	5466
447	46202	5362
448	46298	5258
449	46398	5155
450	46494	5051
451	46594	4948
452	46689	4844
453	46795	4741
454	46893	4637
455	46998	4534
456	47097	4431
457	47198	4328
458	47310	4225
459	47426	4124
460	47544	4022
461	47652	3919
462	47763	3816
463	47847	3712
464	47961	3609
465	48085	3508
466	48191	3405
467	48288	3301
468	48370	3197
469	48467	3093
470	48567	2990
471	48661	2886
472	48751	2782
473	48856	2679
474	48967	2577
475	49085	2474
476	49181	2371
477	49283	2268
478	49382	2165
479	49469	2061
480	49553	1957
481	49648	1854
482	49748	1750
483	49834	1647
484	49934	1544
485	50046	1441
486	50159	1338
487	50263	1235
488	50352	1132
489	50453	1029
490	50556	926
491	50650	823
492	50753	720
493	50845	617
494	50945	514
495	51054	411
496	51155	308
497	51259	205
498	51364	102
499	51471	0
