iter	Passed	Remaining
0	106	53145
1	207	51697
2	326	54129
3	425	52708
4	551	54550
5	658	54251
6	746	52543
7	839	51604
8	922	50348
9	1019	49955
10	1125	50016
11	1211	49252
12	1308	49004
13	1412	49031
14	1508	48780
15	1596	48294
16	1693	48116
17	1785	47815
18	1898	48050
19	1992	47822
20	2094	47767
21	2194	47674
22	2280	47294
23	2383	47264
24	2480	47138
25	2567	46800
26	2653	46488
27	2745	46287
28	2823	45855
29	2977	46643
30	3101	46917
31	3201	46816
32	3309	46839
33	3412	46772
34	3518	46750
35	3649	47038
36	3741	46824
37	3874	47111
38	3978	47027
39	4096	47113
40	4212	47159
41	4352	47462
42	4461	47419
43	4599	47668
44	4741	47937
45	4879	48155
46	5028	48462
47	5151	48512
48	5308	48862
49	5459	49133
50	5604	49343
51	5725	49324
52	5843	49285
53	5936	49032
54	6029	48787
55	6129	48601
56	6214	48301
57	6332	48259
58	6419	47982
59	6526	47860
60	6628	47700
61	6738	47603
62	6839	47443
63	6963	47439
64	7082	47397
65	7179	47213
66	7270	46985
67	7368	46810
68	7469	46656
69	7596	46664
70	7702	46539
71	7803	46387
72	7906	46249
73	7990	46001
74	8088	45836
75	8185	45665
76	8278	45477
77	8372	45299
78	8477	45178
79	8565	44970
80	8658	44789
81	8754	44624
82	8848	44456
83	8949	44320
84	9062	44244
85	9158	44087
86	9251	43919
87	9345	43754
88	9450	43642
89	9536	43443
90	9630	43285
91	9709	43058
92	9807	42922
93	9918	42839
94	10018	42708
95	10125	42610
96	10255	42606
97	10390	42622
98	10505	42550
99	10610	42443
100	10703	42284
101	10797	42130
102	10900	42012
103	11005	41903
104	11099	41754
105	11202	41640
106	11270	41394
107	11356	41219
108	11444	41053
109	11529	40878
110	11618	40718
111	11700	40532
112	11781	40348
113	11875	40209
114	11985	40123
115	12096	40042
116	12204	39950
117	12316	39872
118	12417	39756
119	12486	39541
120	12566	39362
121	12673	39266
122	12768	39135
123	12862	39002
124	12951	38855
125	13045	38723
126	13146	38611
127	13259	38535
128	13360	38425
129	13480	38366
130	13600	38308
131	13706	38213
132	13806	38096
133	13896	37954
134	13996	37841
135	14087	37704
136	14191	37602
137	14285	37473
138	14386	37362
139	14482	37240
140	14582	37127
141	14683	37017
142	14786	36913
143	14883	36794
144	14978	36670
145	15073	36547
146	15164	36416
147	15259	36293
148	15366	36197
149	15473	36105
150	15599	36054
151	15696	35937
152	15780	35790
153	15880	35678
154	15957	35517
155	16051	35394
156	16151	35285
157	16248	35171
158	16344	35052
159	16443	34941
160	16529	34803
161	16604	34643
162	16700	34528
163	16801	34423
164	16897	34307
165	16991	34187
166	17105	34108
167	17210	34011
168	17316	33916
169	17405	33787
170	17507	33683
171	17614	33589
172	17723	33500
173	17816	33380
174	17918	33277
175	18011	33158
176	18118	33063
177	18217	32954
178	18304	32825
179	18404	32718
180	18500	32605
181	18564	32437
182	18664	32331
183	18765	32227
184	18864	32120
185	18964	32015
186	19039	31868
187	19144	31771
188	19248	31674
189	19364	31594
190	19466	31492
191	19568	31390
192	19665	31281
193	19756	31163
194	19857	31059
195	19950	30943
196	20042	30827
197	20145	30726
198	20261	30646
199	20362	30544
200	20467	30446
201	20573	30351
202	20674	30248
203	20775	30144
204	20870	30032
205	20973	29932
206	21069	29822
207	21164	29712
208	21262	29604
209	21366	29506
210	21469	29405
211	21568	29300
212	21667	29195
213	21744	29060
214	21844	28956
215	21943	28851
216	22044	28749
217	22146	28647
218	22247	28546
219	22356	28453
220	22457	28351
221	22550	28239
222	22646	28130
223	22758	28042
224	22880	27964
225	22972	27852
226	23057	27730
227	23141	27607
228	23227	27487
229	23330	27388
230	23428	27282
231	23526	27176
232	23630	27078
233	23719	26963
234	23830	26872
235	23906	26743
236	23998	26631
237	24097	26527
238	24203	26431
239	24307	26333
240	24406	26229
241	24498	26118
242	24602	26020
243	24708	25924
244	24802	25814
245	24912	25722
246	25009	25616
247	25091	25495
248	25198	25400
249	25298	25298
250	25388	25186
251	25480	25076
252	25578	24971
253	25652	24845
254	25732	24723
255	25815	24605
256	25930	24518
257	26069	24452
258	26194	24374
259	26315	24290
260	26413	24186
261	26510	24082
262	26635	24002
263	26733	23897
264	26829	23791
265	26938	23698
266	27046	23601
267	27145	23499
268	27250	23401
269	27363	23309
270	27490	23229
271	27581	23119
272	27683	23018
273	27790	22922
274	27887	22817
275	27987	22714
276	28103	22624
277	28209	22527
278	28310	22425
279	28423	22332
280	28529	22234
281	28627	22130
282	28734	22032
283	28833	21930
284	28930	21825
285	29036	21726
286	29144	21629
287	29248	21530
288	29339	21420
289	29450	21326
290	29546	21220
291	29655	21124
292	29753	21020
293	29845	20911
294	29919	20791
295	30020	20689
296	30135	20597
297	30260	20512
298	30356	20406
299	30459	20306
300	30559	20203
301	30668	20107
302	30784	20015
303	30889	19915
304	30989	19813
305	31080	19704
306	31185	19605
307	31306	19515
308	31416	19419
309	31516	19316
310	31618	19215
311	31722	19115
312	31818	19009
313	31911	18902
314	32027	18809
315	32127	18707
316	32243	18613
317	32354	18517
318	32453	18413
319	32563	18316
320	32673	18220
321	32783	18122
322	32881	18018
323	32980	17915
324	33081	17812
325	33191	17715
326	33300	17617
327	33406	17517
328	33513	17418
329	33620	17319
330	33740	17226
331	33841	17124
332	33931	17016
333	34037	16916
334	34129	16810
335	34231	16708
336	34333	16606
337	34441	16507
338	34557	16412
339	34680	16320
340	34799	16226
341	34907	16126
342	35023	16031
343	35143	15937
344	35249	15836
345	35359	15737
346	35463	15636
347	35560	15532
348	35656	15427
349	35738	15316
350	35843	15215
351	35947	15114
352	36033	15005
353	36151	14909
354	36257	14809
355	36365	14709
356	36478	14611
357	36578	14508
358	36690	14410
359	36808	14314
360	36917	14214
361	37023	14114
362	37109	14005
363	37205	13901
364	37304	13797
365	37396	13691
366	37513	13594
