iter	RMSE
0	6154.810435
1	6008.734223
2	5867.358468
3	5730.026472
4	5597.816725
5	5468.625836
6	5345.169641
7	5227.315037
8	5112.337133
9	4998.651683
10	4893.134266
11	4786.979861
12	4687.695373
13	4590.459092
14	4498.043014
15	4405.948836
16	4318.539751
17	4234.365067
18	4152.731618
19	4075.302606
20	4000.285236
21	3929.197088
22	3858.235689
23	3789.502937
24	3723.678107
25	3659.419371
26	3598.728499
27	3541.539161
28	3484.378772
29	3429.925276
30	3377.923835
31	3327.326975
32	3279.366581
33	3234.411882
34	3189.886012
35	3147.132487
36	3106.665134
37	3067.069902
38	3028.602879
39	2991.944695
40	2957.768254
41	2924.874168
42	2891.768308
43	2859.459031
44	2829.079112
45	2800.598094
46	2774.028875
47	2746.458116
48	2721.11934
49	2697.460572
50	2673.835982
51	2651.132455
52	2629.952788
53	2608.224796
54	2588.942158
55	2570.848785
56	2553.098958
57	2534.262398
58	2517.005725
59	2500.530523
60	2483.362493
61	2466.484667
62	2451.725522
63	2438.201805
64	2422.330474
65	2408.162572
66	2393.200023
67	2378.559598
68	2365.58438
69	2352.530827
70	2339.808509
71	2328.344768
72	2317.186866
73	2306.299516
74	2295.59174
75	2285.589869
76	2276.091864
77	2267.239758
78	2258.131436
79	2249.53321
80	2241.105574
81	2233.443915
82	2225.983956
83	2219.026477
84	2211.300094
85	2204.91371
86	2198.456875
87	2192.12759
88	2186.142495
89	2180.223145
90	2174.179296
91	2169.147575
92	2163.770748
93	2158.66861
94	2154.181519
95	2149.468286
96	2144.783431
97	2140.172335
98	2136.231733
99	2131.7178
100	2127.73455
101	2123.090643
102	2119.142976
103	2115.681191
104	2111.695619
105	2108.186984
106	2104.076302
107	2100.969649
108	2097.760091
109	2094.316827
110	2090.910851
111	2087.792767
112	2084.691109
113	2082.091387
114	2078.947175
115	2076.072549
116	2073.285734
117	2070.571591
118	2068.128575
119	2065.450979
120	2063.258706
121	2060.723727
122	2058.708427
123	2056.339188
124	2054.163775
125	2052.174693
126	2050.166849
127	2047.780861
128	2045.616377
129	2043.696327
130	2042.034615
131	2039.865243
132	2038.009186
133	2035.957616
134	2033.987788
135	2032.153933
136	2030.044507
137	2028.437375
138	2026.478762
139	2024.660428
140	2022.842362
141	2021.075735
142	2019.173889
143	2017.71935
144	2016.18005
145	2014.640394
146	2013.295061
147	2011.532185
148	2009.849504
149	2007.921399
150	2006.777626
151	2005.71767
152	2003.965486
153	2002.580099
154	2001.164007
155	1999.683914
156	1998.326591
157	1996.964923
158	1995.580506
159	1994.377238
160	1993.41756
161	1992.304024
162	1991.301419
163	1990.290509
164	1988.800598
165	1987.711042
166	1986.340829
167	1984.703125
168	1983.463858
169	1982.599937
170	1981.108893
171	1980.225273
172	1979.544335
173	1978.702362
174	1977.427421
175	1976.361111
176	1975.120457
177	1973.977048
178	1972.784707
179	1971.760501
180	1970.950072
181	1969.879165
182	1969.024077
183	1967.92135
184	1967.232753
185	1966.305517
186	1965.632815
187	1964.536768
188	1963.838587
189	1962.775703
190	1961.870327
191	1960.987563
192	1960.015533
193	1959.386471
194	1958.479253
195	1957.497022
196	1956.813056
197	1955.901435
198	1955.153188
199	1954.186037
200	1952.96464
201	1952.048052
202	1951.25923
203	1950.295548
204	1949.72028
205	1948.478986
206	1947.523525
207	1947.030882
208	1946.117823
209	1944.994442
210	1944.268327
211	1943.568513
212	1942.888142
213	1942.269528
214	1941.340313
215	1940.308684
216	1939.61224
217	1938.743808
218	1938.006724
219	1937.098878
220	1936.404403
221	1935.913725
222	1935.316428
223	1934.669071
224	1934.111539
225	1933.617154
226	1932.93667
227	1932.389222
228	1931.958806
229	1931.221158
230	1930.238638
231	1929.74019
232	1928.936302
233	1928.366883
234	1927.393018
235	1926.566274
236	1925.950599
237	1925.458029
238	1924.693211
239	1923.827394
240	1923.04035
241	1921.999964
242	1921.064678
243	1920.477489
