iter	Passed	Remaining
0	115	57575
1	230	57351
2	347	57562
3	432	53613
4	533	52782
5	634	52276
6	723	50967
7	817	50254
8	923	50367
9	1032	50582
10	1143	50821
11	1245	50669
12	1340	50210
13	1437	49907
14	1531	49512
15	1614	48824
16	1724	48984
17	1818	48693
18	1919	48583
19	2033	48806
20	2138	48779
21	2247	48840
22	2349	48718
23	2430	48198
24	2519	47877
25	2616	47703
26	2723	47711
27	2831	47726
28	2992	48610
29	3146	49297
30	3262	49352
31	3370	49288
32	3470	49114
33	3592	49234
34	3721	49436
35	3851	49644
36	3981	49824
37	4116	50042
38	4232	50026
39	4346	49989
40	4474	50092
41	4562	49752
42	4667	49606
43	4770	49441
44	4872	49262
45	4954	48897
46	5064	48809
47	5190	48874
48	5391	49625
49	5566	50094
50	5715	50314
51	5911	50930
52	6098	51437
53	6325	52239
54	6537	52891
55	6706	53175
56	6888	53537
57	7065	53845
58	7209	53891
59	7380	54121
60	7517	54099
61	7660	54115
62	7807	54160
63	7952	54174
64	8084	54102
65	8232	54136
66	8374	54119
67	8575	54476
68	8722	54483
69	8848	54354
70	8999	54375
71	9116	54193
72	9239	54044
73	9360	53886
74	9475	53692
75	9570	53392
76	9689	53229
77	9797	53009
78	9890	52705
79	9998	52490
80	10111	52302
81	10220	52097
82	10317	51834
83	10415	51581
84	10506	51297
85	10601	51036
86	10692	50758
87	10792	50528
88	10895	50315
89	10996	50093
90	11112	49942
91	11201	49674
92	11295	49430
93	11385	49177
94	11488	48975
95	11601	48823
96	11701	48617
97	11800	48405
98	11906	48227
99	12010	48040
100	12102	47810
101	12209	47641
102	12324	47501
103	12403	47229
104	12505	47043
105	12600	46834
106	12713	46697
107	12792	46432
108	12884	46216
109	12979	46019
110	13047	45725
111	13153	45566
112	13257	45404
113	13367	45262
114	13500	45198
115	13610	45055
116	13710	44882
117	13819	44736
118	13969	44724
119	14075	44572
120	14197	44469
121	14307	44328
122	14417	44188
123	14551	44123
124	14726	44179
125	14885	44182
126	15036	44161
127	15165	44074
128	15295	43990
129	15409	43857
130	15500	43660
131	15592	43470
132	15694	43308
133	15807	43175
134	15911	43020
135	16024	42888
136	16126	42729
137	16250	42628
138	16361	42491
139	16457	42319
140	16573	42197
141	16686	42070
142	16789	41915
143	16904	41792
144	17020	41670
145	17133	41544
146	17226	41367
147	17343	41249
148	17440	41084
149	17542	40932
150	17647	40786
151	17748	40635
152	17856	40498
153	17959	40351
154	18063	40206
155	18165	40057
156	18267	39908
157	18329	39676
158	18405	39473
159	18492	39296
160	18579	39121
161	18683	38982
162	18764	38795
163	18869	38659
164	18988	38552
165	19092	38415
166	19200	38286
167	19303	38146
168	19418	38032
169	19521	37895
170	19625	37759
171	19716	37599
172	19802	37429
173	19897	37278
174	19997	37137
175	20113	37026
176	20215	36890
177	20322	36764
178	20438	36652
179	20530	36498
180	20629	36357
181	20723	36209
182	20839	36099
183	20949	35977
184	21046	35835
185	21166	35733
186	21284	35625
187	21400	35516
188	21509	35394
189	21626	35285
190	21726	35148
191	21822	35007
192	21926	34877
193	22032	34752
194	22136	34624
195	22237	34490
196	22352	34380
197	22466	34267
198	22579	34152
199	22674	34011
200	22775	33879
201	22877	33750
202	22969	33605
203	23065	33467
204	23156	33322
205	23263	33201
206	23381	33094
207	23480	32963
208	23582	32835
209	23672	32690
210	23772	32561
211	23873	32431
212	23985	32318
213	24070	32168
214	24176	32047
215	24278	31921
216	24377	31791
217	24483	31671
218	24578	31537
219	24654	31378
220	24745	31239
221	24851	31120
222	24959	31003
223	25059	30876
224	25156	30746
225	25246	30609
226	25338	30473
227	25433	30342
228	25527	30209
229	25636	30094
230	25740	29975
231	25842	29852
232	25938	29722
233	26033	29593
234	26127	29462
235	26199	29308
236	26307	29193
237	26410	29073
238	26511	28951
239	26609	28826
240	26692	28685
241	26796	28567
242	26893	28443
243	27001	28329
244	27087	28193
245	27194	28078
246	27303	27966
247	27403	27845
248	27516	27737
249	27618	27618
250	27711	27491
251	27820	27378
252	27917	27255
253	28018	27135
254	28125	27022
255	28243	26919
256	28348	26803
257	28454	26689
258	28558	26573
259	28652	26448
260	28743	26320
261	28829	26188
262	28936	26076
263	29045	25964
264	29151	25851
265	29256	25736
266	29356	25618
267	29456	25499
268	29555	25380
269	29637	25246
270	29737	25128
271	29824	24999
272	29928	24885
273	30030	24769
274	30123	24646
275	30222	24528
276	30331	24418
277	30438	24306
278	30536	24188
279	30636	24071
280	30731	23951
281	30834	23836
282	30939	23724
283	31036	23605
284	31142	23493
285	31237	23373
286	31334	23254
287	31435	23140
288	31533	23022
289	31629	22904
290	31729	22788
291	31830	22674
292	31931	22558
293	32036	22447
294	32131	22328
295	32238	22218
296	32333	22099
297	32430	21983
298	32526	21865
299	32624	21749
300	32721	21633
301	32822	21519
302	32921	21404
303	33035	21299
304	33140	21188
305	33249	21079
306	33349	20965
307	33436	20843
308	33547	20736
309	33651	20624
310	33747	20509
311	33840	20390
312	33938	20276
313	34036	20161
314	34138	20049
315	34236	19935
316	34334	19820
317	34430	19705
318	34515	19583
319	34608	19467
320	34719	19360
321	34814	19245
322	34917	19134
323	35006	19015
324	35097	18898
325	35191	18783
326	35310	18680
327	35444	18586
328	35582	18494
329	35690	18386
330	35817	18287
331	35946	18189
332	36087	18097
333	36207	17995
334	36354	17905
335	36498	17814
336	36629	17717
337	36786	17631
338	36946	17546
339	37095	17456
340	37244	17366
341	37384	17271
342	37534	17180
343	37668	17082
344	37795	16980
345	37917	16876
346	38080	16790
347	38224	16695
348	38363	16598
349	38510	16504
350	38640	16403
351	38785	16307
352	38931	16212
353	39051	16106
354	39163	15996
355	39280	15888
356	39389	15777
357	39480	15659
358	39568	15540
359	39659	15423
360	39752	15306
361	39855	15193
362	39968	15084
363	40083	14976
364	40197	14867
365	40307	14757
366	40393	14638
367	40508	14530
368	40618	14420
369	40726	14309
370	40854	14205
371	40959	14093
372	41049	13976
373	41153	13864
374	41250	13750
375	41342	13634
376	41436	13519
377	41533	13405
378	41628	13290
379	41720	13174
380	41820	13061
381	41914	12947
382	42026	12838
383	42132	12727
384	42224	12612
385	42339	12504
386	42448	12394
387	42557	12284
388	42666	12174
389	42780	12066
390	42921	11965
391	43033	11856
392	43136	11744
393	43231	11630
394	43330	11518
395	43427	11405
396	43531	11294
397	43639	11183
398	43750	11074
399	43861	10965
400	43974	10856
401	44102	10751
402	44200	10638
403	44306	10528
404	44413	10417
405	44563	10317
406	44670	10207
407	44765	10094
408	44864	9981
409	44982	9874
410	45084	9762
411	45183	9650
412	45273	9536
413	45387	9428
414	45495	9318
415	45592	9206
416	45683	9092
417	45787	8982
418	45880	8869
419	46028	8767
420	46154	8660
421	46283	8554
422	46401	8446
423	46518	8338
424	46619	8226
425	46731	8117
426	46816	8003
427	46923	7893
428	47029	7783
429	47138	7673
430	47233	7561
431	47336	7451
432	47431	7339
433	47516	7226
434	47606	7113
435	47711	7003
436	47795	6890
437	47892	6779
438	47991	6668
439	48111	6560
440	48219	6451
441	48326	6341
442	48435	6232
443	48533	6121
444	48670	6015
445	48777	5905
446	48906	5798
447	49028	5690
448	49152	5582
449	49265	5473
450	49397	5366
451	49506	5257
452	49614	5147
453	49714	5037
454	49820	4927
455	49925	4817
456	50044	4708
457	50154	4599
458	50254	4489
459	50370	4380
460	50475	4270
461	50575	4159
462	50675	4049
463	50756	3938
464	50855	3827
465	50961	3718
466	51067	3608
467	51168	3498
468	51258	3388
469	51368	3278
470	51467	3168
471	51548	3057
472	51649	2948
473	51705	2836
474	51804	2726
475	51908	2617
476	51989	2506
477	52075	2396
478	52180	2287
479	52280	2178
480	52399	2069
481	52491	1960
482	52581	1850
483	52669	1741
484	52761	1631
485	52862	1522
486	52970	1414
487	53062	1304
488	53148	1195
489	53257	1086
490	53365	978
491	53475	869
492	53581	760
493	53698	652
494	53794	543
495	53896	434
496	53999	325
497	54113	217
498	54210	108
499	54310	0
