iter	RMSE
0	6159.195839
1	6013.07858
2	5872.179046
3	5733.812767
4	5601.088968
5	5474.588087
6	5349.90942
7	5229.557509
8	5116.272631
9	5005.459492
10	4897.407818
11	4792.958197
12	4691.616179
13	4595.680022
14	4502.219708
15	4409.873147
16	4324.212183
17	4239.703357
18	4158.4886
19	4078.556912
20	4003.38974
21	3930.836761
22	3860.251045
23	3792.205754
24	3726.886917
25	3662.546164
26	3601.581478
27	3543.273361
28	3487.641783
29	3434.007456
30	3383.921577
31	3333.932806
32	3284.384567
33	3239.226982
34	3195.23726
35	3152.442714
36	3110.284917
37	3071.390229
38	3033.359891
39	2997.678043
40	2962.756766
41	2928.145963
42	2897.152145
43	2866.714382
44	2837.629035
45	2807.720267
46	2780.423194
47	2753.934127
48	2728.967403
49	2704.233332
50	2679.036778
51	2656.316457
52	2634.350284
53	2611.041254
54	2590.604062
55	2571.270442
56	2552.530682
57	2535.479238
58	2516.754312
59	2500.523701
60	2483.150285
61	2467.993265
62	2451.651477
63	2438.206538
64	2424.836056
65	2410.519903
66	2396.518826
67	2383.53473
68	2371.239096
69	2359.046902
70	2347.605896
71	2336.508284
72	2325.639682
73	2314.492756
74	2303.688058
75	2293.514961
76	2283.801077
77	2274.644093
78	2266.220869
79	2256.873683
80	2248.769513
81	2240.495626
82	2232.408788
83	2224.976897
84	2217.966208
85	2211.23197
86	2204.271414
87	2197.092512
88	2191.048478
89	2184.807937
90	2178.8326
91	2173.603065
92	2168.375903
93	2163.070747
94	2157.958536
95	2153.084227
96	2148.422189
97	2144.100049
98	2139.708766
99	2134.702216
100	2130.243641
101	2125.667591
102	2121.856681
103	2117.60196
104	2113.85393
105	2110.056055
106	2106.847078
107	2103.06837
108	2100.190963
109	2096.924155
110	2093.376657
111	2090.456944
112	2087.432106
113	2084.523884
114	2081.444536
115	2079.025506
116	2076.054674
117	2073.754311
118	2071.008631
119	2068.679572
120	2065.917445
121	2063.719707
122	2061.051326
123	2058.729225
124	2056.246204
125	2054.025158
126	2051.796769
127	2049.154693
128	2047.141887
129	2045.041673
130	2043.224401
131	2041.238097
132	2039.214828
133	2036.57869
134	2034.587012
135	2032.87861
136	2031.191457
137	2029.299241
138	2027.506283
139	2026.18927
140	2023.880831
141	2022.346074
142	2020.851451
143	2019.281202
144	2017.892582
145	2016.337385
146	2014.41299
147	2012.978157
148	2011.124029
149	2009.504724
150	2008.272266
151	2006.791211
152	2005.42967
153	2004.088694
154	2003.195284
155	2001.665958
156	2000.21886
157	1998.931785
158	1997.371816
159	1996.332159
160	1994.811444
161	1993.149999
162	1991.893473
163	1990.449589
164	1989.413497
165	1988.284778
166	1987.300309
167	1985.88615
168	1984.962722
169	1983.329553
170	1981.900262
171	1980.668448
172	1979.271145
173	1978.206386
174	1977.221688
175	1976.110026
176	1975.098414
177	1974.211509
178	1973.362932
179	1972.723924
180	1971.665582
181	1970.840148
182	1969.795681
183	1969.127312
184	1968.004762
185	1967.104323
186	1966.049563
187	1965.047716
188	1964.196924
189	1963.480003
190	1962.601122
191	1961.870949
192	1960.994278
193	1960.378225
194	1959.728099
195	1958.827304
196	1957.8418
197	1957.047776
198	1955.955232
199	1955.19715
200	1954.671467
201	1953.840151
202	1953.043406
203	1952.019581
204	1951.283336
205	1950.328981
206	1949.636497
207	1949.057049
208	1947.909256
209	1946.977527
210	1946.534369
211	1945.990603
212	1945.310756
213	1944.367861
214	1943.580285
215	1942.901529
216	1942.197992
217	1941.218952
218	1940.731406
219	1939.8375
220	1939.069568
221	1938.268693
222	1937.614412
223	1936.666202
224	1935.767931
225	1935.030497
226	1934.387583
227	1933.70814
228	1932.931768
229	1932.372547
230	1931.684771
231	1931.033709
232	1929.98228
233	1929.426351
234	1928.605975
235	1927.657755
236	1927.023011
237	1926.078062
238	1925.578355
239	1925.130991
240	1924.395259
241	1923.638054
242	1922.782765
243	1922.039382
244	1921.536166
245	1920.995308
246	1920.526562
247	1919.708135
248	1919.238257
249	1918.474852
250	1918.103256
251	1917.478804
252	1916.657884
253	1915.909181
254	1915.324687
255	1914.77619
256	1914.111427
257	1913.572705
258	1912.939164
259	1912.62008
