iter	Passed	Remaining
399	50624	12656
400	50760	12531
401	50877	12402
402	51026	12281
403	51164	12158
404	51294	12031
405	51421	11905
406	51564	11782
407	51686	11654
408	51827	11531
409	51956	11404
410	52119	11286
411	52252	11160
412	52367	11031
413	52476	10900
414	52608	10775
415	52754	10652
416	52877	10524
417	53001	10397
418	53147	10274
419	53295	10151
420	53429	10025
421	53578	9903
422	53748	9783
423	53885	9658
424	54003	9529
425	54128	9402
426	54247	9274
427	54370	9146
428	54503	9020
429	54619	8891
430	54745	8764
431	54872	8637
432	55048	8517
433	55219	8397
434	55382	8275
435	55534	8151
436	55743	8036
437	55920	7915
438	56083	7792
439	56272	7673
440	56438	7550
441	56660	7435
442	56857	7315
443	57041	7194
444	57262	7077
445	57425	6952
446	57565	6825
447	57698	6697
448	57830	6568
449	57982	6442
450	58108	6313
451	58241	6184
452	58358	6054
453	58485	5925
454	58606	5796
455	58708	5664
456	58838	5536
457	58970	5407
458	59104	5279
459	59244	5151
460	59372	5022
461	59495	4893
462	59615	4764
463	59719	4633
464	59856	4505
465	59979	4376
466	60107	4247
467	60219	4117
468	60351	3989
469	60501	3861
470	60636	3733
471	60784	3605
472	60906	3476
473	61063	3349
474	61203	3221
475	61331	3092
476	61452	2963
477	61572	2833
478	61683	2704
479	61823	2575
480	61960	2447
481	62125	2320
482	62296	2192
483	62497	2066
484	62648	1937
485	62823	1809
486	62996	1681
487	63143	1552
488	63278	1423
489	63404	1293
490	63549	1164
491	63687	1035
492	63828	906
493	63960	776
494	64088	647
495	64229	517
496	64367	388
497	64466	258
498	64595	129
499	64708	0
