iter	RMSE
349	1698.135992
350	1697.823338
351	1697.582716
352	1697.396893
353	1697.043879
354	1696.911942
355	1696.682893
356	1696.294475
357	1696.200233
358	1695.795408
359	1695.714417
360	1695.522047
361	1695.039206
362	1694.786644
363	1694.366052
364	1693.875841
365	1693.38216
366	1693.124881
367	1692.836633
368	1692.593939
369	1692.4292
370	1692.216034
371	1692.048478
372	1691.866308
373	1691.604887
374	1691.345498
375	1691.311495
376	1690.96212
377	1690.530854
378	1690.271079
379	1690.06625
380	1689.807108
381	1689.477148
382	1689.184502
383	1688.978697
384	1688.809435
385	1688.602093
386	1688.264543
387	1688.021336
388	1687.752732
389	1687.707588
390	1687.326567
391	1687.17361
392	1686.919018
393	1686.635885
394	1686.554101
395	1686.315084
396	1686.234318
397	1686.13829
398	1685.996253
399	1685.745432
400	1685.553592
401	1685.259414
402	1685.007637
403	1684.68369
404	1684.391325
405	1684.15944
406	1683.775372
407	1683.347793
408	1683.21282
409	1683.19018
410	1682.930726
411	1682.614353
412	1682.326172
413	1681.923274
414	1681.721525
415	1681.513904
416	1681.134551
417	1680.900256
418	1680.566847
419	1680.299916
420	1680.034696
421	1679.952891
422	1679.677616
423	1679.361978
424	1679.153
425	1679.060816
426	1678.799654
427	1678.659819
428	1678.397854
429	1678.166488
430	1678.106963
431	1677.737154
432	1677.462837
433	1677.275743
434	1677.084917
435	1677.001109
436	1676.974698
437	1676.789089
438	1676.550165
439	1676.147032
440	1675.775651
441	1675.682691
442	1675.636312
443	1675.361942
444	1675.194488
445	1675.063951
446	1674.879734
447	1674.677897
448	1674.499103
449	1674.391386
450	1673.765055
451	1673.503927
452	1673.235734
453	1673.007705
454	1672.663194
455	1672.395335
456	1671.98743
457	1671.765511
458	1671.607035
459	1671.599649
460	1671.426644
461	1671.20828
462	1671.106728
463	1670.990977
464	1670.964779
465	1670.696579
466	1670.688802
467	1670.552655
468	1670.497194
469	1670.399081
470	1670.035271
471	1669.998423
472	1669.84857
473	1669.820363
474	1669.612488
475	1669.364289
476	1669.010088
477	1668.739388
478	1668.575368
479	1668.30032
480	1668.221831
481	1667.941171
482	1667.850539
483	1667.706711
484	1667.498746
485	1667.414015
486	1667.207639
487	1666.960342
488	1666.479348
489	1666.332093
490	1666.174522
491	1666.08019
492	1665.854455
493	1665.81979
494	1665.614101
495	1665.505213
496	1665.43073
497	1665.413764
498	1665.263601
499	1665.162125
